TEAM_ID,CONFERENCE,DIVISION
1610612737,East,Southeast
1610612738,East,Atlantic
1610612740,West,Southwest
1610612741,East,Central
1610612742,West,Southwest
1610612743,West,Northwest
1610612745,West,Southwest
1610612746,West,Pacific
1610612747,West,Pacific
1610612748,East,Southeast
1610612749,East,Central
1610612750,West,Northwest
1610612751,East,Atlantic
1610612752,East,Atlantic
1610612753,East,Southeast
1610612754,East,Central
1610612755,East,Atlantic
1610612756,West,Pacific
1610612757,West,Pacific
1610612758,West,Northwest
1610612759,West,Southwest
1610612760,West,Northwest
1610612761,East,Atlantic
1610612762,West,Northwest
1610612763,West,Southwest
1610612764,East,Southeast
1610612765,East,Central
1610612766,East,Southeast
1610612739,East,Central
1610612744,West,Pacific
